brand/model/year,cap_vol,consumo,power,weight,cemm,nu_cy,Etype
Gurgel BR800 0.8 1991,792,12,33,650,34.4,2,0
FIAT UNO Mille EP 1996,994,10.4,58,870,18.6,4,0
Hyundai HB20 Sense 2020,1000,12.8,80,989,14.5,3,0
FIAT Strada 1.4 2016,1368,10.3,86,1084,12.5,4,0
VolksWagen GOL 1.6 2015,1598,10.5,104,961,9.8,4,0
Chevrolet Cruze LTZ 1.8 2016,1796,8.5,144,1427,10.2,4,0
Honda Civic EXR 2016,1997,9.5,155,1294,10.9,4,0
Ford Focus 2.0 GLX 2012,1999,9.2,148,1347,10.4,4,0
BMW 325i 3.0 2012,2996,6.5,218,1460,7.1,6,0
AUDI A4 3.2 V6 Fsi 2011,3197,7.1,269,1610,6.4,6,0
Mercedes-Benz CLS 350 3.5 V6 2012,3498,6.6,306,1735,6.1,6,0
Mercedes-Benz CLS 500 5.5 V8 2007,5461,4.2,388,1760,5.4,8,0
Chevrolet Camaro SS 6.2 V8 2018,6162,6.4,461,1709,4.2,8,0
Pagani Zonda F 7.3 V12 2006,7291,3,602,1230,3.6,12,0
