brand/model/year,cap_vol,consumo,power,weight,cemm,nu_cy,Etype
Gurgel BR800 0.8 1991,792,12,33,650,34.4,2,0
FIAT UNO Mille EP 1996,994,10.4,58,870,18.6,4,0
Hyundai HB20 Sense 2020,1000,12.8,80,989,14.5,3,0
FIAT Strada 1.4 2016,1368,10.3,86,1084,12.5,4,0
VolksWagen GOL 1.6 2015,1598,10.5,104,961,9.8,4,0
Chevrolet Cruze LTZ 1.8 2016,1796,8.5,144,1427,10.2,4,0
Honda Civic EXR 2016,1997,9.5,155,1294,10.9,4,0
Ford Focus 2.0 GLX 2012,1999,9.2,148,1347,10.4,4,0
BMW 325i 3.0 2012,2996,6.5,218,1460,7.1,6,0
AUDI A4 3.2 V6 Fsi 2011,3197,7.1,269,1610,6.4,6,0
Mercedes-Benz CLS 350 3.5 V6 2012,3498,6.6,306,1735,6.1,6,0
Mercedes-Benz CLS 500 5.5 V8 2007,5461,4.2,388,1760,5.4,8,0
Chevrolet Camaro SS 6.2 V8 2018,6162,6.4,461,1709,4.2,8,0
Pagani Zonda F 7.3 V12 2006,7291,3,602,1230,3.6,12,0
Volkswagen Polo Highline 1.0 Tsi 2021,999,11.4,128,1147,9.6,3,1
Chevrolet Tracker Premier 1.2 T 2021,1199,11.2,133,1271,9.4,3,1
Chevrolet Cruze LTZ 1.4 T 2021,1399,11,153,1321,9,4,1
Honda Civic Touring 1.5 T 2021,1498,11,173,1329,8.6,4,1
Peugeot 306 Griffe 1.6 THP 2019,1598,10.6,173,1392,8.3,4,1
Audi A4 Attraction 1.8 TSFi 2015,1798,8.7,170,1470,8.3,4,1
BMW 320i Sport 2.0 T 2020,1998,10.5,184,1460,7.1,4,1
Porsche Panamera 3.0 V6 2018,2995,7.8,330,1815,5.7,6,1
Honda NSX 3.5 V6 T 2017,3493,7,507,1725,3.3,6,1
Nissan GTR Nismo 3.8 V6 T 2015,3799,5,608,1729,2.7,6,1
Mercedes-Benz E63 S AMG 4.0 V8 2021,3982,6.1,612,1935,3.4,8,1
Aston Martin DB11 5.2 V12 T 2017,5204,2.6,608,1770,3.9,12,1
Pagani Huayra 6.0 V12 T 2014,5980,3,730,1350,3.3,12,1
Bugatti Chiron 8.0 W16 2016,7993,3.8,1500,1998,2.5,16,1
